epoch,accuracy,loss,val_accuracy,val_loss
0,0.0,0.43255031288440987,0.0,0.33548897722248355
1,0.0016942453,0.3153708713864354,0.005007153,0.3075462040599324
2,0.016641254,0.2230378566704808,0.018240344,0.24913208058719472
3,0.051288567,0.14500604094104844,0.06741774,0.27037371069896377
4,0.09325878,0.10692245170230848,0.102288984,0.32192673223980506
5,0.1396058,0.0668135096779816,0.14306152,0.3775017169412114
6,0.16131097,0.051748829584981566,0.15701002,0.41634605140645103
7,0.1669961,0.04266880303495127,0.16255365,0.42986496881274067
8,0.17948645,0.03547714768333567,0.18258226,0.4547733186940011
9,0.20405301,0.028247464925794087,0.2008226,0.5231090579341793
10,0.23769319,0.020364109292313855,0.2707439,0.6140293725286591
11,0.30384406,0.01615637257733488,0.31688127,0.7182813468351741
12,0.35711867,0.012579294901038035,0.3716023,0.7730108511358371
13,0.40478343,0.009654913348714718,0.4129113,0.794241554719344
14,0.42856875,0.00800459450452139,0.4268598,0.8749598855224674
15,0.45815215,0.006624289552445898,0.48748213,0.9069907121618115
16,0.48846972,0.004474517118252608,0.477289,0.976939069546855
17,0.51529527,0.0027033378649820297,0.5198498,1.0606369400874596
18,0.55528885,0.0017641435560959674,0.5438126,1.0765789880016579
19,0.5712148,0.001955727355442946,0.57492846,1.1371743337215272
20,0.58522993,0.0017721215585818826,0.59281117,1.1418629723786908
21,0.60144764,0.0013658632934377725,0.6130186,1.158287750984754
22,0.608827,0.00073140825377912,0.6038984,1.186894421901378
23,0.61631936,0.0005589877140699642,0.6142704,1.2050174185406624
24,0.6194725,0.00046738360835041646,0.6185622,1.2218906384025392
25,0.6269178,0.0004127540544568593,0.6251788,1.2335730005933028
26,0.63131344,0.0003697778405696565,0.62982833,1.2394022987835718
27,0.6346266,0.00033120503910691725,0.6319742,1.2527719447868897
28,0.6378645,0.00029575561025730896,0.6351931,1.2649415915016518
29,0.6407071,0.00026565261396154015,0.6389485,1.2783322338506484
30,0.64450973,0.0002356589030670352,0.64520746,1.2950480084440594
31,0.64814293,0.00021002214611959912,0.6503934,1.3208272104744117
32,0.6528868,0.0001869364149756855,0.6494993,1.322648263043752
33,0.65435517,0.00016594710166308415,0.65522176,1.3441469055258712
34,0.6571507,0.00014784031659563469,0.65790415,1.359781670128295
35,0.6622522,0.0001321601513670591,0.6630901,1.3807273042436226
36,0.66534895,0.000126088307290941,0.66398424,1.3977769451503654
37,0.6686903,0.00011182172004152895,0.66917026,1.4203751673122524
38,0.6719094,0.00011152985564580067,0.6700644,1.4327404039788016
39,0.67477083,0.00010118518083670564,0.67238915,1.4471977230864916
40,0.6773122,9.630120329899851e-05,0.67882687,1.469313816740997
41,0.68177366,9.107533241470354e-05,0.67918456,1.4875741068177852
42,0.68567044,8.678867253038206e-05,0.6877682,1.51252997559875
43,0.6924474,8.207442148199687e-05,0.68866235,1.5339457858153998
44,0.6941511,8.098147531542653e-05,0.6902718,1.5474693364355825
